09:39:23 Pod redisoperator-56c8dfdfb-vl45k 798:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-vl45k to acto-cluster-7-worker2
10:02:55 Pod rfs-test-cluster-54df69f8df-n29ng 3937:	Container image "redis:6.2.6-alpine" already present on machine
10:02:55 Pod rfs-test-cluster-54df69f8df-n29ng 3937:	Created container sentinel-config-copy
10:03:09 Pod rfs-test-cluster-54df69f8df-n29ng 3937:	Started container sentinel-config-copy
10:03:11 Pod rfs-test-cluster-54df69f8df-n29ng 3937:	Container image "redis:6.2.6-alpine" already present on machine
10:03:11 Pod rfs-test-cluster-54df69f8df-n29ng 3937:	Created container sentinel
10:03:12 Pod rfs-test-cluster-54df69f8df-n29ng 3937:	Started container sentinel
09:55:48 Pod rfs-test-cluster-54df69f8df-n4cq9 2957:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-n4cq9 to acto-cluster-7-worker
09:55:48 Pod rfs-test-cluster-54df69f8df-n4cq9 2961:	Container image "redis:6.2.6-alpine" already present on machine
09:55:48 Pod rfs-test-cluster-54df69f8df-n4cq9 2961:	Created container sentinel-config-copy
09:56:02 Pod rfs-test-cluster-54df69f8df-n4cq9 2961:	Started container sentinel-config-copy
09:56:03 Pod rfs-test-cluster-54df69f8df-n4cq9 2961:	Container image "redis:6.2.6-alpine" already present on machine
09:56:03 Pod rfs-test-cluster-54df69f8df-n4cq9 2961:	Created container sentinel
09:56:04 Pod rfs-test-cluster-54df69f8df-n4cq9 2961:	Started container sentinel
10:00:11 Pod rfs-test-cluster-54df69f8df-n4cq9 2961:	Stopping container sentinel
10:02:05 Pod rfs-test-cluster-54df69f8df-nkj75 3805:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-nkj75 to acto-cluster-7-worker3
10:02:05 Pod rfs-test-cluster-54df69f8df-nkj75 3808:	Container image "redis:6.2.6-alpine" already present on machine
10:02:05 Pod rfs-test-cluster-54df69f8df-nkj75 3808:	Created container sentinel-config-copy
10:02:21 Pod rfs-test-cluster-54df69f8df-nkj75 3808:	Started container sentinel-config-copy
10:02:22 Pod rfs-test-cluster-54df69f8df-nkj75 3808:	Container image "redis:6.2.6-alpine" already present on machine
10:02:22 Pod rfs-test-cluster-54df69f8df-nkj75 3808:	Created container sentinel
10:02:23 Pod rfs-test-cluster-54df69f8df-nkj75 3808:	Started container sentinel
09:54:58 Pod rfs-test-cluster-54df69f8df-r4dqp 2833:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-r4dqp to acto-cluster-7-worker2
09:54:58 Pod rfs-test-cluster-54df69f8df-r4dqp 2836:	Container image "redis:6.2.6-alpine" already present on machine
09:54:58 Pod rfs-test-cluster-54df69f8df-r4dqp 2836:	Created container sentinel-config-copy
09:55:12 Pod rfs-test-cluster-54df69f8df-r4dqp 2836:	Started container sentinel-config-copy
09:55:14 Pod rfs-test-cluster-54df69f8df-r4dqp 2836:	Container image "redis:6.2.6-alpine" already present on machine
09:55:14 Pod rfs-test-cluster-54df69f8df-r4dqp 2836:	Created container sentinel
09:55:14 Pod rfs-test-cluster-54df69f8df-r4dqp 2836:	Started container sentinel
09:58:31 Pod rfs-test-cluster-54df69f8df-r4dqp 2836:	Stopping container sentinel
10:01:15 Pod rfs-test-cluster-54df69f8df-s7qcj 3687:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-s7qcj to acto-cluster-7-worker2
10:01:15 Pod rfs-test-cluster-54df69f8df-s7qcj 3689:	Container image "redis:6.2.6-alpine" already present on machine
10:01:15 Pod rfs-test-cluster-54df69f8df-s7qcj 3689:	Created container sentinel-config-copy
10:01:31 Pod rfs-test-cluster-54df69f8df-s7qcj 3689:	Started container sentinel-config-copy
10:01:33 Pod rfs-test-cluster-54df69f8df-s7qcj 3689:	Container image "redis:6.2.6-alpine" already present on machine
10:01:33 Pod rfs-test-cluster-54df69f8df-s7qcj 3689:	Created container sentinel
10:01:33 Pod rfs-test-cluster-54df69f8df-s7qcj 3689:	Started container sentinel
09:39:26 ReplicaSet rfs-test-cluster-54df69f8df 854:	Created pod: rfs-test-cluster-54df69f8df-hwx6x
09:39:26 ReplicaSet rfs-test-cluster-54df69f8df 854:	Created pod: rfs-test-cluster-54df69f8df-kppks
09:39:26 ReplicaSet rfs-test-cluster-54df69f8df 854:	Created pod: rfs-test-cluster-54df69f8df-dtkzl
09:51:25 ReplicaSet rfs-test-cluster-54df69f8df 2327:	Deleted pod: rfs-test-cluster-54df69f8df-hwx6x
09:52:15 ReplicaSet rfs-test-cluster-54df69f8df 2455:	Deleted pod: rfs-test-cluster-54df69f8df-kppks
09:53:05 ReplicaSet rfs-test-cluster-54df69f8df 2585:	Deleted pod: rfs-test-cluster-54df69f8df-dtkzl
09:54:08 ReplicaSet rfs-test-cluster-54df69f8df 2707:	Created pod: rfs-test-cluster-54df69f8df-c4vqd
09:54:58 ReplicaSet rfs-test-cluster-54df69f8df 2830:	Created pod: rfs-test-cluster-54df69f8df-r4dqp
09:55:48 ReplicaSet rfs-test-cluster-54df69f8df 2954:	Created pod: rfs-test-cluster-54df69f8df-n4cq9
09:58:31 ReplicaSet rfs-test-cluster-54df69f8df 3307:	Deleted pod: rfs-test-cluster-54df69f8df-r4dqp
09:59:21 ReplicaSet rfs-test-cluster-54df69f8df 3433:	Deleted pod: rfs-test-cluster-54df69f8df-c4vqd
