08:28:31 Pod redisoperator-56c8dfdfb-kfxzr 783:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-kfxzr to acto-cluster-8-worker2
08:28:50 Pod rfs-test-cluster-54df69f8df-cmflt 855:	Container image "redis:6.2.6-alpine" already present on machine
08:28:50 Pod rfs-test-cluster-54df69f8df-cmflt 855:	Created container sentinel
08:28:50 Pod rfs-test-cluster-54df69f8df-cmflt 855:	Started container sentinel
08:28:34 Pod rfs-test-cluster-54df69f8df-fsnxv 846:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-fsnxv to acto-cluster-8-worker2
08:28:35 Pod rfs-test-cluster-54df69f8df-fsnxv 853:	Container image "redis:6.2.6-alpine" already present on machine
08:28:35 Pod rfs-test-cluster-54df69f8df-fsnxv 853:	Created container sentinel-config-copy
08:28:49 Pod rfs-test-cluster-54df69f8df-fsnxv 853:	Started container sentinel-config-copy
08:28:51 Pod rfs-test-cluster-54df69f8df-fsnxv 853:	Container image "redis:6.2.6-alpine" already present on machine
08:28:51 Pod rfs-test-cluster-54df69f8df-fsnxv 853:	Created container sentinel
08:28:51 Pod rfs-test-cluster-54df69f8df-fsnxv 853:	Started container sentinel
08:28:34 Pod rfs-test-cluster-54df69f8df-qdc26 842:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-qdc26 to acto-cluster-8-worker
08:28:35 Pod rfs-test-cluster-54df69f8df-qdc26 847:	Container image "redis:6.2.6-alpine" already present on machine
08:28:35 Pod rfs-test-cluster-54df69f8df-qdc26 847:	Created container sentinel-config-copy
08:28:49 Pod rfs-test-cluster-54df69f8df-qdc26 847:	Started container sentinel-config-copy
08:28:51 Pod rfs-test-cluster-54df69f8df-qdc26 847:	Container image "redis:6.2.6-alpine" already present on machine
08:28:51 Pod rfs-test-cluster-54df69f8df-qdc26 847:	Created container sentinel
08:28:51 Pod rfs-test-cluster-54df69f8df-qdc26 847:	Started container sentinel
08:28:34 ReplicaSet rfs-test-cluster-54df69f8df 840:	Created pod: rfs-test-cluster-54df69f8df-qdc26
08:28:34 ReplicaSet rfs-test-cluster-54df69f8df 840:	Created pod: rfs-test-cluster-54df69f8df-fsnxv
08:28:34 ReplicaSet rfs-test-cluster-54df69f8df 840:	Created pod: rfs-test-cluster-54df69f8df-cmflt
08:28:34 PodDisruptionBudget rfs-test-cluster 835:	No matching pods found
08:28:34 Deployment rfs-test-cluster 838:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
