08:19:17 Pod rfs-test-cluster-6d54f84994-xjpbc 2386:	Container image "redis:6.2.6-alpine" already present on machine
08:19:17 Pod rfs-test-cluster-6d54f84994-xjpbc 2386:	Created container sentinel
08:19:17 Pod rfs-test-cluster-6d54f84994-xjpbc 2386:	Started container sentinel
08:23:23 Pod rfs-test-cluster-6d54f84994-xjpbc 2386:	Stopping container sentinel
08:11:52 ReplicaSet rfs-test-cluster-6d54f84994 1407:	Created pod: rfs-test-cluster-6d54f84994-9qjvj
08:12:42 ReplicaSet rfs-test-cluster-6d54f84994 1526:	Created pod: rfs-test-cluster-6d54f84994-r7mxs
08:13:32 ReplicaSet rfs-test-cluster-6d54f84994 1657:	Created pod: rfs-test-cluster-6d54f84994-98qkx
08:16:14 ReplicaSet rfs-test-cluster-6d54f84994 1994:	Deleted pod: rfs-test-cluster-6d54f84994-r7mxs
08:17:05 ReplicaSet rfs-test-cluster-6d54f84994 2123:	Deleted pod: rfs-test-cluster-6d54f84994-9qjvj
08:17:55 ReplicaSet rfs-test-cluster-6d54f84994 2253:	Deleted pod: rfs-test-cluster-6d54f84994-98qkx
08:19:00 ReplicaSet rfs-test-cluster-6d54f84994 2381:	Created pod: rfs-test-cluster-6d54f84994-xjpbc
08:19:50 ReplicaSet rfs-test-cluster-6d54f84994 2499:	Created pod: rfs-test-cluster-6d54f84994-745ml
08:20:40 ReplicaSet rfs-test-cluster-6d54f84994 2624:	Created pod: rfs-test-cluster-6d54f84994-gzb8c
08:23:23 ReplicaSet rfs-test-cluster-6d54f84994 2978:	Deleted pod: rfs-test-cluster-6d54f84994-xjpbc
08:24:14 ReplicaSet rfs-test-cluster-6d54f84994 3101:	Deleted pod: rfs-test-cluster-6d54f84994-745ml
08:25:04 ReplicaSet rfs-test-cluster-6d54f84994 3226:	Deleted pod: rfs-test-cluster-6d54f84994-gzb8c
08:24:14 Pod rfs-test-cluster-7ff86f9d4-2q7fd 3114:	Successfully assigned acto-namespace/rfs-test-cluster-7ff86f9d4-2q7fd to acto-cluster-9-worker3
08:24:14 Pod rfs-test-cluster-7ff86f9d4-2q7fd 3119:	Container image "redis:6.2.6-alpine" already present on machine
08:24:14 Pod rfs-test-cluster-7ff86f9d4-2q7fd 3119:	Created container sentinel-config-copy
08:24:26 Pod rfs-test-cluster-7ff86f9d4-2q7fd 3119:	Started container sentinel-config-copy
08:24:28 Pod rfs-test-cluster-7ff86f9d4-2q7fd 3119:	Container image "redis:6.2.6-alpine" already present on machine
08:24:28 Pod rfs-test-cluster-7ff86f9d4-2q7fd 3119:	Created container sentinel
08:24:28 Pod rfs-test-cluster-7ff86f9d4-2q7fd 3119:	Started container sentinel
08:17:05 Pod rfs-test-cluster-7ff86f9d4-4qqgk 2136:	Successfully assigned acto-namespace/rfs-test-cluster-7ff86f9d4-4qqgk to acto-cluster-9-worker3
08:17:05 Pod rfs-test-cluster-7ff86f9d4-4qqgk 2139:	Container image "redis:6.2.6-alpine" already present on machine
08:17:05 Pod rfs-test-cluster-7ff86f9d4-4qqgk 2139:	Created container sentinel-config-copy
08:17:19 Pod rfs-test-cluster-7ff86f9d4-4qqgk 2139:	Started container sentinel-config-copy
08:17:20 Pod rfs-test-cluster-7ff86f9d4-4qqgk 2139:	Container image "redis:6.2.6-alpine" already present on machine
08:17:20 Pod rfs-test-cluster-7ff86f9d4-4qqgk 2139:	Created container sentinel
08:17:20 Pod rfs-test-cluster-7ff86f9d4-4qqgk 2139:	Started container sentinel
08:21:30 Pod rfs-test-cluster-7ff86f9d4-4qqgk 2139:	Stopping container sentinel
08:16:14 Pod rfs-test-cluster-7ff86f9d4-4z72b 2007:	Successfully assigned acto-namespace/rfs-test-cluster-7ff86f9d4-4z72b to acto-cluster-9-worker2
08:16:15 Pod rfs-test-cluster-7ff86f9d4-4z72b 2010:	Container image "redis:6.2.6-alpine" already present on machine
08:16:15 Pod rfs-test-cluster-7ff86f9d4-4z72b 2010:	Created container sentinel-config-copy
08:16:29 Pod rfs-test-cluster-7ff86f9d4-4z72b 2010:	Started container sentinel-config-copy
08:16:31 Pod rfs-test-cluster-7ff86f9d4-4z72b 2010:	Container image "redis:6.2.6-alpine" already present on machine
08:16:31 Pod rfs-test-cluster-7ff86f9d4-4z72b 2010:	Created container sentinel
08:16:31 Pod rfs-test-cluster-7ff86f9d4-4z72b 2010:	Started container sentinel
08:20:40 Pod rfs-test-cluster-7ff86f9d4-4z72b 2010:	Stopping container sentinel
08:23:23 Pod rfs-test-cluster-7ff86f9d4-5fqvb 2991:	Successfully assigned acto-namespace/rfs-test-cluster-7ff86f9d4-5fqvb to acto-cluster-9-worker2
08:23:24 Pod rfs-test-cluster-7ff86f9d4-5fqvb 2994:	Container image "redis:6.2.6-alpine" already present on machine
08:23:24 Pod rfs-test-cluster-7ff86f9d4-5fqvb 2994:	Created container sentinel-config-copy
08:23:38 Pod rfs-test-cluster-7ff86f9d4-5fqvb 2994:	Started container sentinel-config-copy
08:23:41 Pod rfs-test-cluster-7ff86f9d4-5fqvb 2994:	Container image "redis:6.2.6-alpine" already present on machine
08:23:41 Pod rfs-test-cluster-7ff86f9d4-5fqvb 2994:	Created container sentinel
08:23:41 Pod rfs-test-cluster-7ff86f9d4-5fqvb 2994:	Started container sentinel
08:22:33 Pod rfs-test-cluster-7ff86f9d4-h5gwz 2869:	Successfully assigned acto-namespace/rfs-test-cluster-7ff86f9d4-h5gwz to acto-cluster-9-worker
08:22:34 Pod rfs-test-cluster-7ff86f9d4-h5gwz 2872:	Container image "redis:6.2.6-alpine" already present on machine
08:22:34 Pod rfs-test-cluster-7ff86f9d4-h5gwz 2872:	Created container sentinel-config-copy
08:22:48 Pod rfs-test-cluster-7ff86f9d4-h5gwz 2872:	Started container sentinel-config-copy
08:22:50 Pod rfs-test-cluster-7ff86f9d4-h5gwz 2872:	Container image "redis:6.2.6-alpine" already present on machine
08:22:50 Pod rfs-test-cluster-7ff86f9d4-h5gwz 2872:	Created container sentinel
08:22:50 Pod rfs-test-cluster-7ff86f9d4-h5gwz 2872:	Started container sentinel
08:15:24 Pod rfs-test-cluster-7ff86f9d4-lglnz 1892:	Successfully assigned acto-namespace/rfs-test-cluster-7ff86f9d4-lglnz to acto-cluster-9-worker
08:15:25 Pod rfs-test-cluster-7ff86f9d4-lglnz 1894:	Container image "redis:6.2.6-alpine" already present on machine
08:15:25 Pod rfs-test-cluster-7ff86f9d4-lglnz 1894:	Created container sentinel-config-copy
08:15:40 Pod rfs-test-cluster-7ff86f9d4-lglnz 1894:	Started container sentinel-config-copy
08:15:41 Pod rfs-test-cluster-7ff86f9d4-lglnz 1894:	Container image "redis:6.2.6-alpine" already present on machine
08:15:41 Pod rfs-test-cluster-7ff86f9d4-lglnz 1894:	Created container sentinel
08:15:42 Pod rfs-test-cluster-7ff86f9d4-lglnz 1894:	Started container sentinel
08:19:50 Pod rfs-test-cluster-7ff86f9d4-lglnz 1894:	Stopping container sentinel
08:15:24 ReplicaSet rfs-test-cluster-7ff86f9d4 1889:	Created pod: rfs-test-cluster-7ff86f9d4-lglnz
08:16:14 ReplicaSet rfs-test-cluster-7ff86f9d4 2004:	Created pod: rfs-test-cluster-7ff86f9d4-4z72b
08:17:05 ReplicaSet rfs-test-cluster-7ff86f9d4 2133:	Created pod: rfs-test-cluster-7ff86f9d4-4qqgk
08:19:50 ReplicaSet rfs-test-cluster-7ff86f9d4 2489:	Deleted pod: rfs-test-cluster-7ff86f9d4-lglnz
08:20:40 ReplicaSet rfs-test-cluster-7ff86f9d4 2614:	Deleted pod: rfs-test-cluster-7ff86f9d4-4z72b
08:21:30 ReplicaSet rfs-test-cluster-7ff86f9d4 2742:	Deleted pod: rfs-test-cluster-7ff86f9d4-4qqgk
08:22:33 ReplicaSet rfs-test-cluster-7ff86f9d4 2867:	Created pod: rfs-test-cluster-7ff86f9d4-h5gwz
08:23:23 ReplicaSet rfs-test-cluster-7ff86f9d4 2988:	Created pod: rfs-test-cluster-7ff86f9d4-5fqvb
08:24:14 ReplicaSet rfs-test-cluster-7ff86f9d4 3111:	Created pod: rfs-test-cluster-7ff86f9d4-2q7fd
08:07:49 PodDisruptionBudget rfs-test-cluster 841:	No matching pods found
08:07:49 Deployment rfs-test-cluster 846:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
08:11:52 Deployment rfs-test-cluster 1406:	Scaled up replica set rfs-test-cluster-6d54f84994 to 1
08:12:42 Deployment rfs-test-cluster 1475:	Scaled down replica set rfs-test-cluster-54df69f8df to 2
08:12:42 Deployment rfs-test-cluster 1519:	Scaled up replica set rfs-test-cluster-6d54f84994 to 2
08:13:32 Deployment rfs-test-cluster 1621:	Scaled down replica set rfs-test-cluster-54df69f8df to 1
08:13:32 Deployment rfs-test-cluster 1649:	Scaled up replica set rfs-test-cluster-6d54f84994 to 3
08:14:22 Deployment rfs-test-cluster 1761:	Scaled down replica set rfs-test-cluster-54df69f8df to 0
08:15:24 Deployment rfs-test-cluster 1888:	Scaled up replica set rfs-test-cluster-7ff86f9d4 to 1
08:16:14 Deployment rfs-test-cluster 1952:	Scaled down replica set rfs-test-cluster-6d54f84994 to 2
08:16:14 Deployment rfs-test-cluster 1997:	(combined from similar events): Scaled down replica set rfs-test-cluster-6d54f84994 to 0
08:24:14 Deployment rfs-test-cluster 3059:	Scaled up replica set rfs-test-cluster-7ff86f9d4 to 3
