Name,Owner,Desc,url,forks,stars,commits,watches,created_at,pushed_at
weblogic-kubernetes-operator,oracle,WebLogic Kubernetes Operator,https://github.com/oracle/weblogic-kubernetes-operator,209,231,57,8848,2017-12-05,2023-03-21
seldon-core,SeldonIO,"An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models",https://github.com/SeldonIO/seldon-core,738,3646,80,7248,2017-12-20,2023-03-20
aistore,NVIDIA,AIStore: scalable storage for AI applications,https://github.com/NVIDIA/aistore,87,769,40,6596,2017-12-14,2023-03-21
examples,open-horizon,Code examples you can use with Horizon.,https://github.com/open-horizon/examples,62,36,17,1740,2017-12-11,2023-03-07
vcenter-operator,sapcc,A kubernetes operator configuring templates derived from vcenters,https://github.com/sapcc/vcenter-operator,2,4,36,101,2017-12-27,2023-02-07
spark-on-k8s-operator,GoogleCloudPlatform,Kubernetes operator for managing the lifecycle of Apache Spark applications on Kubernetes.,https://github.com/GoogleCloudPlatform/spark-on-k8s-operator,1211,2292,88,857,2018-01-03,2023-03-20
jx,jenkins-x,Jenkins X provides automated CI+CD for Kubernetes with Preview Environments on Pull Requests using Cloud Native pipelines from Tekton,https://github.com/jenkins-x/jx,785,4348,120,12132,2018-01-05,2023-03-20
kubefed,kubernetes-sigs,Kubernetes Cluster Federation,https://github.com/kubernetes-sigs/kubefed,531,2464,77,2745,2018-01-09,2023-02-07
awesome-apache-airflow,jghoman,Curated list of resources about Apache Airflow,https://github.com/jghoman/awesome-apache-airflow,455,3244,153,350,2018-01-11,2022-08-25
kooper,spotahome,Kooper is a simple Go library to create Kubernetes operators and controllers.,https://github.com/spotahome/kooper,44,462,42,320,2018-01-25,2023-03-16
containerized-data-importer,kubevirt,"Data Import Service for kubernetes, designed with kubevirt in mind.",https://github.com/kubevirt/containerized-data-importer,220,313,24,2494,2018-01-16,2023-03-20
java-a-course-for-beginners,in28minutes,Java Programming Tutorial for Beginners,https://github.com/in28minutes/java-a-course-for-beginners,570,873,121,118,2018-01-26,2022-12-16
examples,kubeflow,A repository to host extended examples and tutorials,https://github.com/kubeflow/examples,704,1270,46,531,2018-02-01,2023-03-02
testing,kubeflow,Test infrastructure and tooling for Kubeflow.,https://github.com/kubeflow/testing,84,62,20,651,2018-01-31,2023-03-06
container-native-spring-postgresql,redhat-cop,,https://github.com/redhat-cop/container-native-spring-postgresql,11,21,14,142,2018-01-16,2022-09-22
operator-sdk,operator-framework,"SDK for building Kubernetes applications. Provides high level APIs, useful abstractions, and project scaffolding.",https://github.com/operator-framework/operator-sdk,1643,6388,123,3159,2018-02-07,2023-03-20
kube-arangodb,arangodb,ArangoDB Kubernetes Operator - Start ArangoDB on Kubernetes in 5min,https://github.com/arangodb/kube-arangodb,69,212,36,2505,2018-02-05,2023-03-18
kiali,kiali,"Kiali project, observability for the Istio service mesh",https://github.com/kiali/kiali,443,3059,76,6630,2018-02-04,2023-03-20
application,kubernetes-sigs,Application metadata descriptor CRD,https://github.com/kubernetes-sigs/application,152,481,35,256,2018-03-01,2023-03-02
weblogic-deploy-tooling,oracle,WebLogic Deploy Tooling,https://github.com/oracle/weblogic-deploy-tooling,88,140,46,2029,2018-02-07,2023-03-21
IngressMonitorController,stakater,"A Kubernetes controller to watch ingresses and create liveness alerts for your apps/microservices in UptimeRobot, StatusCake, Pingdom, etc.  – [✩Star] if you're using it!",https://github.com/stakater/IngressMonitorController,90,464,10,1311,2018-02-21,2023-03-20
rhsummitlabs-2018,RedHatOfficial,The documentation repository for all Red Hat Summit 2018 Labs. The full labs agenda is online: https://agenda.summit.redhat.com/?Instructor-led%20Lab=0,https://github.com/RedHatOfficial/rhsummitlabs-2018,91,79,34,474,2018-02-26,2022-08-17
vck,IntelAI,Volume Controller for Kubernetes,https://github.com/IntelAI/vck,17,67,18,74,2018-02-23,2023-01-03
grafana-sysdig-datasource,draios,Sysdig datasource plugin for Grafana (https://grafana.com/),https://github.com/draios/grafana-sysdig-datasource,8,32,85,139,2018-02-11,2023-03-01
service-catalog-templates,Azure,Templating and defaulting for Kubernetes Service Catalog,https://github.com/Azure/service-catalog-templates,2,4,11,13,2018-02-06,2023-01-24
coding-interview-university-zh-tw,kevingo,coding-interview-university 繁體中文翻譯計畫。原作者：https://github.com/jwasham/coding-interview-university,https://github.com/kevingo/coding-interview-university-zh-tw,333,1250,90,1176,2018-02-20,2022-11-17
kubebuilder,kubernetes-sigs,Kubebuilder - SDK for building Kubernetes APIs using CRDs,https://github.com/kubernetes-sigs/kubebuilder,1245,6274,90,3009,2018-03-14,2023-03-20
