Operator,Bug ID,Bug Link,Bug Title,Root Cause Location,Interaction,Pattern,Operation Semantics
KafkaOp,KafkaOp-8060,https://github.com/strimzi/strimzi-kafka-operator/issues/8060,Recreate watcher when closed with an exception,Internal,,,
KafkaOp,KafkaOp-8401,https://github.com/strimzi/strimzi-kafka-operator/issues/8401,Fix certificate key replacement issue when Cluster Operator crashes after the trust is established,Interaction,Platform,,
KafkaOp,KafkaOp-8472,https://github.com/strimzi/strimzi-kafka-operator/issues/8472,[Bug]: CO logs StringIndexOutOfBoundsException when tag is not specified for KafkaConnect build,Internal,,,
KafkaOp,KafkaOp-8579,https://github.com/strimzi/strimzi-kafka-operator/issues/8579,[Bug]: Invalid order of -XX properties in KAFKA_JVM_PERFORMANCE_OPTS variable,Interaction,Application,Semantic violations,Configuration
KafkaOp,KafkaOp-934,https://github.com/strimzi/strimzi-kafka-operator/issues/934,Mirror Maker doesn't support user provided configuration,Interaction,User,,
KnativeOp,KnativeOp-1157,https://github.com/knative/operator/issues/1157,[BUG] Contour pod is not deleted when disabled by user,Interaction,User,,
KnativeOp,KnativeOp-1158,https://github.com/knative/operator/issues/1158,[BUG]: operator clusterRole's permission is insufficient to enable Rabbitmq as event source,Interaction,Platform,,
KnativeOp,KnativeOp-1200,https://github.com/knative/operator/issues/1200,webhook HPA attempt at scaling up apparently reverted by the operator,Interaction,Platform,,
KnativeOp,KnativeOp-1274,https://github.com/knative/operator/issues/1274,Operator fails to install Knative Eventing when Kafka specified,Interaction,Platform,,
KnativeOp,KnativeOp-1408,https://github.com/knative/operator/issues/1408,"Need to verify if image overriding is supported in Job, Statefulset, etc.",Interaction,User,,
KnativeOp,KnativeOp-1480,https://github.com/knative/operator/issues/1480,Add the ability to configure tolerations and nodeselector for Knative pre/post-install jobs,Interaction,User,,
KnativeOp,KnativeOp-1817,https://github.com/knative/operator/issues/1817,Liveness probe cannot be removed,Interaction,User,,
KnativeOp,KnativeOp-337,https://github.com/knative/operator/issues/337,Update HA logic,Interaction,User,,
KnativeOp,KnativeOp-363,https://github.com/knative/operator/issues/363,v0.19.0 breaks Istio by creating the knative-local-gateway Service in the wrong namespace,Interaction,Co-operator,,
KnativeOp,KnativeOp-393,https://github.com/knative/operator/issues/393,"Env var changes of ""pingsource-mt-adapter"" are not respected",Interaction,User,,
KnativeOp,KnativeOp-507,https://github.com/knative/operator/issues/507,Knative-local-gateway gets deleted and never re-created,Interaction,Platform,,
KnativeOp,KnativeOp-76,https://github.com/knative/operator/issues/76,Unable to override image for the upgrade job,Interaction,User,,
KnativeOp,KnativeOp-813,https://github.com/knative/operator/issues/813,Can not set Kafka as default broker via `spec.config` property,Interaction,User,,
KubeBlocks,KubeBlocks-1040,https://github.com/apecloud/kubeblocks/issues/1040,[BUG] Delete cluster hang and pvc `STATUS` is always `Terminating`,Interaction,Platform,,
KubeBlocks,KubeBlocks-1086,https://github.com/apecloud/kubeblocks/issues/1086,"[BUG] `HorizontalScaling` cluster replicas 1 to 3 in eks, pod `Status` changes to `CrashLoopBackOff` during scaling",Interaction,Application,Mishandling application errors,
KubeBlocks,KubeBlocks-1092,https://github.com/apecloud/kubeblocks/issues/1092,"[BUG] when created cluster failed, systemaccount_util.go:351  panic",Interaction,Platform,,
KubeBlocks,KubeBlocks-1097,https://github.com/apecloud/kubeblocks/issues/1097,[BUG] systemaccount controller doesn't set secret's owner when it refers a existing one,Interaction,Platform,,
KubeBlocks,KubeBlocks-1690,https://github.com/apecloud/kubeblocks/issues/1690,[BUG]Apecloud mysql pod crash after Hscale down on AKS,Interaction,Application,Semantic violations,Ordering
KubeBlocks,KubeBlocks-2078,https://github.com/apecloud/kubeblocks/issues/2078,[BUG]PostgreSQL exporter scrape error and some panels of Grafana return no data,Interaction,Application,Semantic violations,Ordering
KubeBlocks,KubeBlocks-2152,https://github.com/apecloud/kubeblocks/issues/2152,"[BUG] Delete a cluster and immediately create a cluster with the same name , cluster status always Creating",Interaction,Platform,,
KubeBlocks,KubeBlocks-2184,https://github.com/apecloud/kubeblocks/issues/2184,[BUG] pg_hba.conf is not valid for postgresql-patroni-ha,Interaction,Application,Semantic violations,Configuration
KubeBlocks,KubeBlocks-2264,https://github.com/apecloud/kubeblocks/issues/2264,[BUG] create postgresql-ha cluster connect error,Interaction,Platform,,
KubeBlocks,KubeBlocks-2288,https://github.com/apecloud/kubeblocks/issues/2288,[BUG]couldn't get resource list for metrics.k8s.io/v1beta1 returned when kbcli playground init alicloud,HelmChart,,,
KubeBlocks,KubeBlocks-2597,https://github.com/apecloud/kubeblocks/issues/2597,[BUG]kubeblocks controller CrashLoopBackOff,Internal,,,
KubeBlocks,KubeBlocks-2648,https://github.com/apecloud/kubeblocks/issues/2648,[BUG] wesql-scale cluster rpc timeout,Interaction,Application,Semantic violations,Configuration
KubeBlocks,KubeBlocks-2945,https://github.com/apecloud/kubeblocks/issues/2945,"[BUG] The pg incremental backup recovery is complete, and the cluster is inaccessible for a short time",Interaction,Application,State observability,
KubeBlocks,KubeBlocks-3123,https://github.com/apecloud/kubeblocks/issues/3123,[BUG] pg cluster restore to time: incremental data not found,Misuse,,,
KubeBlocks,KubeBlocks-3157,https://github.com/apecloud/kubeblocks/issues/3157,[BUG] Successful reduction storage size of mysql cluster,Misuse,,,
KubeBlocks,KubeBlocks-3485,https://github.com/apecloud/kubeblocks/issues/3485,[BUG] pg cluster restore failed: primaryIndex is 1 and secondary starts before the primary,Interaction,Application,Semantic violations,Ordering
KubeBlocks,KubeBlocks-3966,https://github.com/apecloud/kubeblocks/issues/3966,[BUG] postgresql cluster restart error,Interaction,Application,Semantic violations,Ordering
