06:52:24 Pod rfs-test-cluster-64c7df4bf7-dnxlh 2046:	Stopping container sentinel-exporter
06:47:08 Pod rfs-test-cluster-64c7df4bf7-fcph5 2170:	Successfully assigned acto-namespace/rfs-test-cluster-64c7df4bf7-fcph5 to acto-cluster-1-worker
06:47:09 Pod rfs-test-cluster-64c7df4bf7-fcph5 2172:	Container image "redis:6.2.6-alpine" already present on machine
06:47:09 Pod rfs-test-cluster-64c7df4bf7-fcph5 2172:	Created container sentinel-config-copy
06:47:23 Pod rfs-test-cluster-64c7df4bf7-fcph5 2172:	Started container sentinel-config-copy
06:47:26 Pod rfs-test-cluster-64c7df4bf7-fcph5 2172:	Container image "redis:6.2.6-alpine" already present on machine
06:47:26 Pod rfs-test-cluster-64c7df4bf7-fcph5 2172:	Created container sentinel
06:47:27 Pod rfs-test-cluster-64c7df4bf7-fcph5 2172:	Started container sentinel
06:47:27 Pod rfs-test-cluster-64c7df4bf7-fcph5 2172:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:47:27 Pod rfs-test-cluster-64c7df4bf7-fcph5 2172:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 168.17077ms
06:47:27 Pod rfs-test-cluster-64c7df4bf7-fcph5 2172:	Created container sentinel-exporter
06:47:30 Pod rfs-test-cluster-64c7df4bf7-fcph5 2172:	Started container sentinel-exporter
06:51:34 Pod rfs-test-cluster-64c7df4bf7-fcph5 2172:	Stopping container sentinel
06:51:34 Pod rfs-test-cluster-64c7df4bf7-fcph5 2172:	Stopping container sentinel-exporter
06:55:06 Pod rfs-test-cluster-64c7df4bf7-g4bj7 3306:	Successfully assigned acto-namespace/rfs-test-cluster-64c7df4bf7-g4bj7 to acto-cluster-1-worker
06:55:07 Pod rfs-test-cluster-64c7df4bf7-g4bj7 3308:	Container image "redis:6.2.6-alpine" already present on machine
06:55:07 Pod rfs-test-cluster-64c7df4bf7-g4bj7 3308:	Created container sentinel-config-copy
06:55:18 Pod rfs-test-cluster-64c7df4bf7-g4bj7 3308:	Started container sentinel-config-copy
06:55:20 Pod rfs-test-cluster-64c7df4bf7-g4bj7 3308:	Container image "redis:6.2.6-alpine" already present on machine
06:55:20 Pod rfs-test-cluster-64c7df4bf7-g4bj7 3308:	Created container sentinel
06:55:20 Pod rfs-test-cluster-64c7df4bf7-g4bj7 3308:	Started container sentinel
06:55:20 Pod rfs-test-cluster-64c7df4bf7-g4bj7 3308:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:55:20 Pod rfs-test-cluster-64c7df4bf7-g4bj7 3308:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 132.719415ms
06:55:20 Pod rfs-test-cluster-64c7df4bf7-g4bj7 3308:	Created container sentinel-exporter
06:55:23 Pod rfs-test-cluster-64c7df4bf7-g4bj7 3308:	Started container sentinel-exporter
06:47:59 Pod rfs-test-cluster-64c7df4bf7-kbqtx 2301:	Successfully assigned acto-namespace/rfs-test-cluster-64c7df4bf7-kbqtx to acto-cluster-1-worker2
06:47:59 Pod rfs-test-cluster-64c7df4bf7-kbqtx 2304:	Container image "redis:6.2.6-alpine" already present on machine
06:47:59 Pod rfs-test-cluster-64c7df4bf7-kbqtx 2304:	Created container sentinel-config-copy
06:48:12 Pod rfs-test-cluster-64c7df4bf7-kbqtx 2304:	Started container sentinel-config-copy
06:48:13 Pod rfs-test-cluster-64c7df4bf7-kbqtx 2304:	Container image "redis:6.2.6-alpine" already present on machine
