06:19:43 Pod redisoperator-56c8dfdfb-d26g8 813:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-d26g8 to acto-cluster-3-worker
06:19:46 Pod rfs-test-cluster-54df69f8df-rwlcg 886:	Container image "redis:6.2.6-alpine" already present on machine
06:19:46 Pod rfs-test-cluster-54df69f8df-rwlcg 886:	Created container sentinel-config-copy
06:20:00 Pod rfs-test-cluster-54df69f8df-rwlcg 886:	Started container sentinel-config-copy
06:20:02 Pod rfs-test-cluster-54df69f8df-rwlcg 886:	Container image "redis:6.2.6-alpine" already present on machine
06:20:02 Pod rfs-test-cluster-54df69f8df-rwlcg 886:	Created container sentinel
06:20:02 Pod rfs-test-cluster-54df69f8df-rwlcg 886:	Started container sentinel
06:19:45 ReplicaSet rfs-test-cluster-54df69f8df 872:	Created pod: rfs-test-cluster-54df69f8df-99gm2
06:19:45 ReplicaSet rfs-test-cluster-54df69f8df 872:	Created pod: rfs-test-cluster-54df69f8df-rdbzd
06:19:45 ReplicaSet rfs-test-cluster-54df69f8df 872:	Created pod: rfs-test-cluster-54df69f8df-rwlcg
06:19:45 PodDisruptionBudget rfs-test-cluster 867:	No matching pods found
06:19:45 Deployment rfs-test-cluster 870:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
