09:32:13 Pod rfs-test-cluster-5c7d7c749-mpnsv 1512:	Container image "redis:6.2.6-alpine" already present on machine
09:32:13 Pod rfs-test-cluster-5c7d7c749-mpnsv 1512:	Created container sentinel
09:32:13 Pod rfs-test-cluster-5c7d7c749-mpnsv 1512:	Started container sentinel
09:36:21 Pod rfs-test-cluster-5c7d7c749-mpnsv 1512:	Stopping container sentinel
09:31:58 ReplicaSet rfs-test-cluster-5c7d7c749 1507:	Created pod: rfs-test-cluster-5c7d7c749-mpnsv
09:32:49 ReplicaSet rfs-test-cluster-5c7d7c749 1625:	Created pod: rfs-test-cluster-5c7d7c749-4p5x5
09:33:39 ReplicaSet rfs-test-cluster-5c7d7c749 1753:	Created pod: rfs-test-cluster-5c7d7c749-fvc9v
09:36:21 ReplicaSet rfs-test-cluster-5c7d7c749 2099:	Deleted pod: rfs-test-cluster-5c7d7c749-mpnsv
09:37:11 ReplicaSet rfs-test-cluster-5c7d7c749 2230:	Deleted pod: rfs-test-cluster-5c7d7c749-4p5x5
09:38:02 ReplicaSet rfs-test-cluster-5c7d7c749 2356:	Deleted pod: rfs-test-cluster-5c7d7c749-fvc9v
09:26:54 PodDisruptionBudget rfs-test-cluster 839:	No matching pods found
09:26:54 Deployment rfs-test-cluster 842:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
09:31:58 Deployment rfs-test-cluster 1506:	Scaled up replica set rfs-test-cluster-5c7d7c749 to 1
09:32:49 Deployment rfs-test-cluster 1577:	Scaled down replica set rfs-test-cluster-54df69f8df to 2
09:32:49 Deployment rfs-test-cluster 1619:	Scaled up replica set rfs-test-cluster-5c7d7c749 to 2
09:33:39 Deployment rfs-test-cluster 1715:	Scaled down replica set rfs-test-cluster-54df69f8df to 1
09:33:39 Deployment rfs-test-cluster 1746:	Scaled up replica set rfs-test-cluster-5c7d7c749 to 3
09:34:29 Deployment rfs-test-cluster 1857:	Scaled down replica set rfs-test-cluster-54df69f8df to 0
09:35:31 Deployment rfs-test-cluster 1988:	Scaled up replica set rfs-test-cluster-54df69f8df to 1
09:36:21 Deployment rfs-test-cluster 2053:	Scaled down replica set rfs-test-cluster-5c7d7c749 to 2
09:36:21 Deployment rfs-test-cluster 2102:	(combined from similar events): Scaled down replica set rfs-test-cluster-5c7d7c749 to 0
