23:40:55 Pod test-cluster-leader-0 2892:	Started container redis-exporter
23:44:00 Pod test-cluster-leader-0 2892:	Stopping container test-cluster-leader
23:44:00 Pod test-cluster-leader-0 2892:	Stopping container redis-exporter
23:44:31 Pod test-cluster-leader-0 3676:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-11-worker3
23:44:31 Pod test-cluster-leader-0 3677:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:44:32 Pod test-cluster-leader-0 3677:	Created container test-cluster-leader
23:44:33 Pod test-cluster-leader-0 3677:	Started container test-cluster-leader
23:44:33 Pod test-cluster-leader-0 3677:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:44:33 Pod test-cluster-leader-0 3677:	Created container redis-exporter
23:44:34 Pod test-cluster-leader-0 3677:	Started container redis-exporter
23:47:42 Pod test-cluster-leader-0 3677:	Stopping container test-cluster-leader
23:47:42 Pod test-cluster-leader-0 3677:	Stopping container redis-exporter
23:48:15 Pod test-cluster-leader-0 4489:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-11-worker3
23:48:18 Pod test-cluster-leader-0 4493:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:48:18 Pod test-cluster-leader-0 4493:	Created container test-cluster-leader
23:48:21 Pod test-cluster-leader-0 4493:	Started container test-cluster-leader
23:48:21 Pod test-cluster-leader-0 4493:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:48:21 Pod test-cluster-leader-0 4493:	Created container redis-exporter
23:48:22 Pod test-cluster-leader-0 4493:	Started container redis-exporter
23:32:53 Pod test-cluster-leader-1 1051:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-11-worker
23:32:54 Pod test-cluster-leader-1 1119:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:32:54 Pod test-cluster-leader-1 1119:	Created container test-cluster-leader
23:32:55 Pod test-cluster-leader-1 1119:	Started container test-cluster-leader
23:32:55 Pod test-cluster-leader-1 1119:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:32:55 Pod test-cluster-leader-1 1119:	Created container redis-exporter
23:32:57 Pod test-cluster-leader-1 1119:	Started container redis-exporter
23:35:36 Pod test-cluster-leader-1 1119:	Stopping container test-cluster-leader
23:35:36 Pod test-cluster-leader-1 1119:	Stopping container redis-exporter
23:36:06 Pod test-cluster-leader-1 1837:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-11-worker
23:36:07 Pod test-cluster-leader-1 1838:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:36:07 Pod test-cluster-leader-1 1838:	Created container test-cluster-leader
23:36:08 Pod test-cluster-leader-1 1838:	Started container test-cluster-leader
23:36:08 Pod test-cluster-leader-1 1838:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:36:08 Pod test-cluster-leader-1 1838:	Created container redis-exporter
23:36:10 Pod test-cluster-leader-1 1838:	Started container redis-exporter
23:39:17 Pod test-cluster-leader-1 1838:	Stopping container test-cluster-leader
23:39:17 Pod test-cluster-leader-1 1838:	Stopping container redis-exporter
23:39:49 Pod test-cluster-leader-1 2650:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-11-worker
23:39:51 Pod test-cluster-leader-1 2654:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:39:51 Pod test-cluster-leader-1 2654:	Created container test-cluster-leader
23:39:52 Pod test-cluster-leader-1 2654:	Started container test-cluster-leader
23:39:52 Pod test-cluster-leader-1 2654:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:39:52 Pod test-cluster-leader-1 2654:	Created container redis-exporter
23:39:53 Pod test-cluster-leader-1 2654:	Started container redis-exporter
23:42:59 Pod test-cluster-leader-1 2654:	Stopping container test-cluster-leader
